data,obiekt,band,max,min,mean,max-min,max_after,min_after,mean_after,max-min_after
2020-06-01,trw,b5,1294,830,964.3658536585366,464,1086.0,851.0,961.7948717948718,235.0
2020-06-01,trw,b6,3475,2666,3143.0243902439024,809,3471.0,2710.0,3146.74358974359,761.0
2020-06-01,trw,b7,4300,3137,3766.487804878049,1163,4190.0,3263.0,3768.948717948718,927.0
2020-06-01,trw,b8,4608,3392,4054.170731707317,1216,4572.0,3476.0,4056.641025641026,1096.0
2020-06-01,trw,b9,4421,3356,3984.0365853658536,1065,4421.0,3395.0,3988.9358974358975,1026.0
2020-06-01,trw,b10,1903,1339,1586.2317073170732,564,1836.0,1393.0,1585.1025641025642,443.0
2020-06-01,trw,b11,1110,610,734.829268292683,500,872.0,619.0,731.2435897435897,253.0
2020-06-01,trw,b12,4564,3373,4056.5731707317073,1191,4426.0,3562.0,4061.0897435897436,864.0
2020-06-01,ws,b1,491,365,411.92045454545456,126,490.0,370.0,411.10714285714283,120.0
2020-06-01,ws,b2,547,281,394.6818181818182,266,508.0,323.0,393.7142857142857,185.0
2020-06-01,ws,b3,620,326,460.8863636363636,294,601.0,389.0,459.9761904761905,212.0
2020-06-01,ws,b4,519,259,386.57954545454544,260,510.0,311.0,386.10714285714283,199.0
2020-06-01,ws,b5,543,280,392.29545454545456,263,522.0,309.0,391.25,213.0
2020-06-01,ws,b6,530,274,389.57954545454544,256,522.0,306.0,388.9404761904762,216.0
2020-06-01,ws,b7,553,291,399.89772727272725,262,531.0,322.0,398.73809523809524,209.0
2020-06-01,ws,b8,530,247,366.46590909090907,283,499.0,281.0,365.1547619047619,218.0
2020-06-01,ws,b9,1756,335,445.96590909090907,1421,734.0,350.0,429.4047619047619,384.0
2020-06-01,ws,b10,467,246,335.70454545454544,221,440.0,266.0,334.5,174.0
2020-06-01,ws,b11,406,213,303.57954545454544,193,398.0,246.0,303.29761904761904,152.0
2020-06-01,ws,b12,567,309,400.84090909090907,258,514.0,311.0,399.20238095238096,203.0
2020-06-01,wp,b1,570,255,389.43243243243245,315,570.0,255.0,388.7916666666667,315.0
2020-06-01,wp,b2,641,214,364.4189189189189,427,634.0,214.0,362.6666666666667,420.0
2020-06-01,wp,b3,739,256,450.86486486486484,483,727.0,256.0,449.56944444444446,471.0
2020-06-01,wp,b4,705,202,394.2027027027027,503,683.0,202.0,392.55555555555554,481.0
2020-06-01,wp,b5,993,429,666.3513513513514,564,993.0,429.0,665.1111111111111,564.0
2020-06-01,wp,b6,2192,495,1102.9864864864865,1697,1908.0,495.0,1096.3055555555557,1413.0
2020-06-01,wp,b7,2639,734,1239.7432432432433,1905,2478.0,734.0,1227.3333333333333,1744.0
2020-06-01,wp,b8,2864,538,908.1621621621622,2326,1560.0,538.0,886.1388888888889,1022.0
2020-06-01,wp,b9,3345,1667,2473.945945945946,1678,3344.0,1667.0,2473.0555555555557,1677.0
2020-06-01,wp,b10,1719,548,1101.4864864864865,1171,1686.0,548.0,1100.5972222222222,1138.0
2020-06-01,wp,b11,1048,355,648.8783783783783,693,1048.0,355.0,647.4166666666666,693.0
2020-06-01,wp,b12,2830,535,1355.4324324324325,2295,2386.0,577.0,1346.3472222222222,1809.0
2020-06-01,zab,b1,1435,348,656.797619047619,1087,1435.0,392.0,645.0625,1043.0
2020-06-01,zab,b2,5804,351,1404.7857142857142,5453,3416.0,502.0,1338.8625,2914.0
2020-06-01,zab,b3,5644,591,1583.547619047619,5053,4300.0,647.0,1522.1625,3653.0
2020-06-01,zab,b4,5244,555,1642.654761904762,4689,4244.0,658.0,1591.075,3586.0
2020-06-01,zab,b5,3864,948,1737.452380952381,2916,3478.0,978.0,1704.025,2500.0
2020-06-01,zab,b6,3655,1290,2231.75,2365,3547.0,1540.0,2219.1875,2007.0
2020-06-01,zab,b7,3741,1519,2415.690476190476,2222,3537.0,1582.0,2405.9625,1955.0
2020-06-01,zab,b8,5428,1116,2532.3571428571427,4312,4176.0,1552.0,2502.975,2624.0
2020-06-01,zab,b9,3749,2073,2762.5833333333335,1676,3666.0,2182.0,2755.1625,1484.0
2020-06-01,zab,b10,4636,1655,2532.059523809524,2981,3968.0,1797.0,2503.05,2171.0
2020-06-01,zab,b11,5120,1166,2174.7619047619046,3954,4548.0,1322.0,2129.5125,3226.0
2020-06-01,zab,b12,3949,1475,2526.2976190476193,2474,3578.0,1694.0,2516.55,1884.0
2020-06-01,igl,b1,238,184,202.95652173913044,54,238,184,202.95652173913044,54
2020-06-01,igl,b2,297,190,239.31521739130434,107,279.0,201.0,239.0909090909091,78.0
2020-06-01,igl,b3,473,353,399.9891304347826,120,455.0,355.0,399.5,100.0
2020-06-01,igl,b4,375,224,276.1847826086956,151,351.0,230.0,275.15909090909093,121.0
2020-06-01,igl,b5,745,550,622.5108695652174,195,694.0,569.0,621.5681818181819,125.0
2020-06-01,igl,b6,1802,1297,1488.1195652173913,505,1678.0,1345.0,1485.3181818181818,333.0
2020-06-01,igl,b7,2087,1495,1687.8369565217392,592,1957.0,1505.0,1684.215909090909,452.0
2020-06-01,igl,b8,2320,1620,1832.1739130434783,700,2064.0,1668.0,1828.4545454545455,396.0
2020-06-01,igl,b9,2125,1751,1877.4347826086957,374,2088.0,1763.0,1874.659090909091,325.0
2020-06-01,igl,b10,1315,937,1081.2717391304348,378,1278.0,965.0,1079.3636363636363,313.0
2020-06-01,igl,b11,739,474,562.945652173913,265,680.0,486.0,561.3295454545455,194.0
2020-06-01,igl,b12,2235,1607,1848.1195652173913,628,2100.0,1665.0,1844.4886363636363,435.0
2020-06-01,lisc,b1,256,187,230.58536585365854,69,256,187,230.58536585365854,69
